Concat	Plate	Letter	Well
3H3	3	H	3
3H4	3	H	4
3H5	3	H	5
3H6	3	H	6
3H7	3	H	7
3H8	3	H	8
3H9	3	H	9
3H10	3	H	10
3H11	3	H	11
3H12	3	H	12
4A1	4	A	1
4A2	4	A	2
4A3	4	A	3
4A4	4	A	4
4A5	4	A	5
4A6	4	A	6
4A7	4	A	7
4A8	4	A	8
4A9	4	A	9
4A10	4	A	10
4A11	4	A	11
4A12	4	A	12
4B1	4	B	1
4B2	4	B	2
4B3	4	B	3
4B4	4	B	4
4B5	4	B	5
4B6	4	B	6
4B7	4	B	7
4B8	4	B	8
4B9	4	B	9
4B10	4	B	10
4B11	4	B	11
4B12	4	B	12
4C1	4	C	1
4C2	4	C	2
4C3	4	C	3
4C4	4	C	4
4C5	4	C	5
4C6	4	C	6
4C7	4	C	7
4C8	4	C	8
4C9	4	C	9
4C10	4	C	10
4C11	4	C	11
4C12	4	C	12
4D1	4	D	1
4D2	4	D	2
4D3	4	D	3
4D4	4	D	4
4D5	4	D	5
4D6	4	D	6
4D7	4	D	7
4D8	4	D	8
4D9	4	D	9
4D10	4	D	10
4D11	4	D	11
4D12	4	D	12
4E1	4	E	1
4E2	4	E	2
4E3	4	E	3
4E4	4	E	4
4E5	4	E	5
4E6	4	E	6
4E7	4	E	7
4E8	4	E	8
4E9	4	E	9
4E10	4	E	10
4E11	4	E	11
4E12	4	E	12
4F1	4	F	1
4F2	4	F	2
4F3	4	F	3
4F4	4	F	4
4F5	4	F	5
4F6	4	F	6
4F7	4	F	7
4F8	4	F	8
4F9	4	F	9
4F10	4	F	10
4F11	4	F	11
4F12	4	F	12
4G1	4	G	1
4G2	4	G	2
4G3	4	G	3
4G4	4	G	4
4G5	4	G	5
4G6	4	G	6
4G7	4	G	7
4G8	4	G	8
4G9	4	G	9
4G10	4	G	10
4G11	4	G	11
4G12	4	G	12
4H1	4	H	1
4H2	4	H	2
4H3	4	H	3
4H4	4	H	4
4H5	4	H	5
4H6	4	H	6
4H7	4	H	7
4H8	4	H	8
4H9	4	H	9
4H10	4	H	10
4H11	4	H	11
4H12	4	H	12
5A1	5	A	1
5A2	5	A	2
5A3	5	A	3
5A4	5	A	4
5A5	5	A	5
5A6	5	A	6
5A7	5	A	7
5A8	5	A	8
5A9	5	A	9
5A10	5	A	10
5A11	5	A	11
5A12	5	A	12
5B1	5	B	1
5B2	5	B	2
5B3	5	B	3
5B4	5	B	4
5B5	5	B	5
5B6	5	B	6
5B7	5	B	7
5B8	5	B	8
5B9	5	B	9
5B10	5	B	10
5B11	5	B	11
5B12	5	B	12
5C1	5	C	1
5C2	5	C	2
5C3	5	C	3
5C4	5	C	4
5C5	5	C	5
5C6	5	C	6
