"Library","Plate_index","OD"
"Grant","P15B11",0.334
"Grant","P15B12",0.306
"Grant","P15C1",0.31
"Grant","P15C2",0.377
"Grant","P15C3",0.257
"Grant","P15C4",0.377
"Grant","P15C5",0.147
"Grant","P15C6",0.15
"Grant","P15C7",0.396
"Grant","P15C8",0.337
"Grant","P15C9",0.387
"Grant","P15C11",0.288
"Grant","P15C12",0
"Grant","P15D1",0.279
"Grant","P15D2",0.374
"Grant","P15D3",0.382
"Grant","P15D4",0.44
"Grant","P15D5",0.501
"Grant","P15D6",0.444
"Grant","P15D7",0.429
"Grant","P15D8",0.343
"Grant","P15D9",0.436
"Grant","P15D11",0.314
"Grant","P15D12",0.339
"Grant","P15E1",0.354
"Grant","P15E2",0.371
"Grant","P15E3",0.393
"Grant","P15E4",0.39
"Grant","P15E5",0.412
"Grant","P15E6",0.445
"Grant","P15E7",0.41
"Grant","P15E8",0.382
"Grant","P15E9",0.421
"Grant","P15E11",0.355
"Grant","P15E12",0.258
"Grant","P15F1",0.306
"Grant","P15F2",0.43
"Grant","P15F3",0.022
"Grant","P15F4",0.483
"Grant","P15F5",0.425
"Grant","P15F6",0.379
"Grant","P15F7",0.426
"Grant","P15F8",0.297
"Grant","P15F9",0.455
"Grant","P15F10",0.133
"Grant","P15F11",0.34
"Grant","P15F12",0.324
"Grant","P15G1",0.304
"Grant","P15G2",0.395
"Grant","P15G3",0.393
"Grant","P15G4",0.355
"Grant","P15G5",0.361
"Grant","P15G6",0.339
"Grant","P15G7",0.364
"Grant","P15G8",0.315
"Grant","P15G9",0.36
"Grant","P15G11",0.357
"Grant","P15G12",0.079
"Grant","P15H1",0.41
"Grant","P15H2",0.338
"Grant","P15H3",0.437
"Grant","P15H4",0.343
"Grant","P15H5",0.302
"Grant","P15H6",0.334
"Grant","P15H7",0.445
"Grant","P15H8",0.439
"Grant","P15H9",0.354
"Grant","P15H11",0.361
"Grant","P15H12",0.26
"Grant","P19A1",0.36
"Grant","P19A2",0.031
"Grant","P19A3",0.326
"Grant","P19A4",0.34
"Grant","P19A5",0.371
"Grant","P19A6",0.333
"Grant","P19A7",0.453
"Grant","P19A8",0.437
"Grant","P19A9",0.341
"Grant","P19A10",0.232
"Grant","P19A11",0.445
"Grant","P19A12",0.366
"Grant","P19B1",0.277
"Grant","P19B2",0.337
"Grant","P19B3",0.307
"Grant","P19B4",0.302
"Grant","P19B5",0.215
"Grant","P19B6",0.324
"Grant","P19B7",0.367
"Grant","P19B8",0.353
"Grant","P19B9",0.352
"Grant","P19B10",0.358
"Grant","P19B11",0.194
"Grant","P19B12",0.298
"Grant","P19C1",0.439
"Grant","P19C2",0.298
"Grant","P19C3",0.347
"Grant","P19C4",0.529
"Grant","P19C5",0.485
"Grant","P19C6",0.385
"Grant","P19C7",0.414
"Grant","P19C8",0.333
"Grant","P19C9",0.507
"Grant","P19C10",0.401
"Grant","P19C11",0.284
"Grant","P19C12",0.239
"Grant","P19D1",0.38
"Grant","P19D2",0.427
"Grant","P19D3",0.38
"Grant","P19D4",0.566
"Grant","P19D5",0.531
"Grant","P19D6",0.467
"Grant","P19D7",0.401
"Grant","P19D8",0.414
"Grant","P19D9",0.5
"Grant","P19D10",0.405
